member,one_period_solver_derived_deterioration_cost,source
M00,0.48,illustrative
M01,0.8982382413135248,illustrative
M02,0.7436170536074904,illustrative
M03,0.48,illustrative
M04,0.48,illustrative
M05,0.6512018388667329,illustrative
M06,0.6757964793340143,illustrative
M07,0.48,illustrative
M08,0.48,illustrative
M09,0.48,illustrative
M10,0.48,illustrative
M11,0.48,illustrative
M12,0.636162421195845,illustrative
M13,0.48,illustrative
M14,0.7664817740241148,illustrative
M15,0.48,illustrative
M16,0.48,illustrative
M17,0.48,illustrative
M18,0.48,illustrative
M19,0.48,illustrative
M20,0.48,illustrative
