member_id,member,kind,storey,bay,node_i,node_j,true_alpha,true_crack_width_mm,true_theta_deg,source
0,M00,column,1,0,0,4,0.9916267563460638,0.0,20.118234799764654,illustrative
1,M01,column,1,1,1,5,0.679457462870522,0.4535106472213568,43.343056373996966,illustrative
2,M02,column,1,2,2,6,0.7673646465761695,0.3836243281735365,74.68387166272936,illustrative
3,M03,column,1,3,3,7,0.9818251809564175,0.027642716442550425,121.33379399830808,illustrative
4,M04,column,2,0,4,8,0.7410196568814531,0.2375234352070411,130.27894443728877,illustrative
5,M05,column,2,1,5,9,0.9543806613122212,0.05053659890579968,174.4530533015558,illustrative
6,M06,column,2,2,6,10,0.7063919628311573,0.4794151729196032,26.772684486097575,illustrative
7,M07,column,2,3,7,11,0.7491064858393197,0.34143942363817187,56.597320099829574,illustrative
8,M08,column,3,0,8,12,0.9998163262523082,0.0,86.42812120740484,illustrative
9,M09,column,3,1,9,13,0.7637794229007807,0.3621922392389737,106.37248664337199,illustrative
10,M10,column,3,2,10,14,0.8868553092542035,0.24634857133805582,156.08997471486958,illustrative
11,M11,column,3,3,11,15,0.7443269107162586,0.4367004913403645,3.1739463759959676,illustrative
12,M12,beam,1,0,4,5,0.8742138709918149,0.22687877686229752,27.716709255207377,illustrative
13,M13,beam,1,1,5,6,0.6683118292337747,0.6432846286427467,52.643993587178784,illustrative
14,M14,beam,1,2,6,7,0.8962980855088591,0.1694666832692603,101.82342452787168,illustrative
15,M15,beam,2,0,8,9,0.7533313015366673,0.29186840027409233,112.28081095638805,illustrative
16,M16,beam,2,1,9,10,0.9233732380006169,0.22367700547883962,148.09925650898708,illustrative
17,M17,beam,2,2,10,11,0.7342641450839525,0.39416414743616324,176.8976282470337,illustrative
18,M18,beam,3,0,12,13,0.9339306313834392,0.01290639570900351,23.301977797683207,illustrative
19,M19,beam,3,1,13,14,0.5270347000175947,0.6338015192907639,66.24406472053238,illustrative
20,M20,beam,3,2,14,15,0.7814454696260098,0.318241336744734,99.50072804696299,illustrative
