member_id,member,kind,storey,bay,node_i,node_j,true_alpha,true_crack_width_mm,true_theta_deg,ground_truth_case,source
0,M00,column,1,0,0,4,0.6688453282023823,0.48989009004926626,28.602030906690587,dense_damage_sparsity_false,illustrative
1,M01,column,1,1,1,5,0.7895134485506602,0.3164820049032111,49.00344988587034,dense_damage_sparsity_false,illustrative
2,M02,column,1,2,2,6,0.727582177630133,0.5123765564722466,78.15067580676673,dense_damage_sparsity_false,illustrative
3,M03,column,1,3,3,7,0.7226089773718308,0.3434093409158865,119.85034128858824,dense_damage_sparsity_false,illustrative
4,M04,column,2,0,4,8,0.7202935923714167,0.5117875882374149,141.4697098846872,dense_damage_sparsity_false,illustrative
5,M05,column,2,1,5,9,0.667567480904147,0.45429486772879557,174.85797217778605,dense_damage_sparsity_false,illustrative
6,M06,column,2,2,6,10,0.6739621687996727,0.4399577164478433,15.816285833090717,dense_damage_sparsity_false,illustrative
7,M07,column,2,3,7,11,0.6953198461807524,0.5112444058113007,59.529271251302504,dense_damage_sparsity_false,illustrative
8,M08,column,3,0,8,12,0.6644904484427716,0.5602713246934226,90.68436031291753,dense_damage_sparsity_false,illustrative
9,M09,column,3,1,9,13,0.6511304194058892,0.5016739530264167,114.57179927612754,dense_damage_sparsity_false,illustrative
10,M10,column,3,2,10,14,0.6799027037669315,0.45458870797812373,144.6532240637206,dense_damage_sparsity_false,illustrative
11,M11,column,3,3,11,15,0.7459757320620921,0.3207991751797809,13.57059268551825,dense_damage_sparsity_false,illustrative
12,M12,beam,1,0,4,5,0.6479229624305878,0.56690040493561,40.9111314679983,dense_damage_sparsity_false,illustrative
13,M13,beam,1,1,5,6,0.8039394280507133,0.268620928412887,69.22262294720622,dense_damage_sparsity_false,illustrative
14,M14,beam,1,2,6,7,0.7842319402447212,0.3532506471874111,91.2694199904401,dense_damage_sparsity_false,illustrative
15,M15,beam,2,0,8,9,0.6672367572213743,0.5358363678059441,139.06323879411775,dense_damage_sparsity_false,illustrative
16,M16,beam,2,1,9,10,0.6900302706097016,0.31416387189319744,162.99773101360472,dense_damage_sparsity_false,illustrative
17,M17,beam,2,2,10,11,0.6815032966664305,0.40740604682998316,6.220576476554356,dense_damage_sparsity_false,illustrative
18,M18,beam,3,0,12,13,0.7886645181130042,0.34113509350744203,26.86621122154986,dense_damage_sparsity_false,illustrative
19,M19,beam,3,1,13,14,0.6850547652754193,0.49603460753116063,56.16598314958344,dense_damage_sparsity_false,illustrative
20,M20,beam,3,2,14,15,0.7560578310942734,0.37634708642525255,102.54865052440755,dense_damage_sparsity_false,illustrative
