member_id,member,kind,tier,utilisation_mean,utilisation_sd,performance_level,conformal_low,conformal_high,conformal_label_set,prob_IO,prob_LS,prob_CP,prob_Fail,N_functional_form,source
0,M00,column,reduced_alpha_only,1.5821274397045662,0.24523114673865976,Fail,1.3879893827994918,1.7762654966096405,Fail,0.0,0.0,0.05625,0.94375,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
1,M01,column,reduced_alpha_only,1.9357514322225406,0.246484934819864,Fail,1.7416133753174663,2.1298894891276148,Fail,0.0,0.0,0.003125,0.996875,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
2,M02,column,full_alpha_w_theta,1.9776249066191973,0.16345393160204827,Fail,1.783486849714123,2.1717629635242717,Fail,0.0,0.0,0.0,1.0,"N(alpha,w,theta,transport); source=illustrative",illustrative
3,M03,column,reduced_alpha_only,1.598798407840817,0.24474788429777034,Fail,1.4046603509357427,1.7929364647458914,Fail,0.0,0.003125,0.0375,0.959375,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
4,M04,column,reduced_alpha_only,0.9629586746845945,0.09001207138856473,CP,0.7688206177795203,1.1570967315896687,LS|CP|Fail,0.0,0.25,0.728125,0.021875,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
5,M05,column,reduced_alpha_only,1.5466162519983513,0.2281521129352396,Fail,1.352478195093277,1.7407543089034256,Fail,0.0,0.0,0.009375,0.990625,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
6,M06,column,reduced_alpha_only,1.543146331113512,0.21853183038421461,Fail,1.3490082742084377,1.7372843880185864,Fail,0.0,0.0,0.00625,0.99375,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
7,M07,column,full_alpha_w_theta,1.040642104454418,0.07659545044310065,CP,0.8465040475493437,1.2347801613594924,LS|CP|Fail,0.0,0.0375,0.8625,0.1,"N(alpha,w,theta,transport); source=illustrative",illustrative
8,M08,column,full_alpha_w_theta,0.5871149784802243,0.04029861381829234,IO,0.39297692157515,0.7812530353852987,IO|LS,0.9125,0.0875,0.0,0.0,"N(alpha,w,theta,transport); source=illustrative",illustrative
9,M09,column,full_alpha_w_theta,1.070184478884199,0.07010195184003166,CP,0.8760464219791246,1.2643225357892733,LS|CP|Fail,0.0,0.0,0.865625,0.134375,"N(alpha,w,theta,transport); source=illustrative",illustrative
10,M10,column,reduced_alpha_only,1.0228982754678895,0.1362959852451003,CP,0.8287602185628151,1.2170363323729638,LS|CP|Fail,0.0,0.11875,0.746875,0.134375,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
11,M11,column,reduced_alpha_only,0.5919301940209069,0.04384680865051417,IO,0.39779213711583256,0.7860682509259811,IO|LS,0.90625,0.09375,0.0,0.0,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
12,M12,beam,full_alpha_w_theta,2.1000192861312303,0.16021761685697417,Fail,1.905881229226156,2.2941573430363045,Fail,0.0,0.0,0.0,1.0,"N(alpha,w,theta,transport); source=illustrative",illustrative
13,M13,beam,reduced_alpha_only,1.5633774455993161,0.1471750602733878,Fail,1.3692393886942418,1.7575155025043905,Fail,0.0,0.0,0.003125,0.996875,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
14,M14,beam,reduced_alpha_only,2.104565596844897,0.20004639134286126,Fail,1.9104275399398227,2.298703653749971,Fail,0.0,0.0,0.0,1.0,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
15,M15,beam,full_alpha_w_theta,1.703636679783638,0.09376481717171602,Fail,1.5094986228785636,1.8977747366887123,Fail,0.0,0.0,0.0,1.0,"N(alpha,w,theta,transport); source=illustrative",illustrative
16,M16,beam,reduced_alpha_only,1.209121906339689,0.08408988235429245,Fail,1.0149838494346146,1.4032599632447633,CP|Fail,0.0,0.0,0.23125,0.76875,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
17,M17,beam,reduced_alpha_only,1.6746757783131443,0.11869220039673455,Fail,1.48053772140807,1.8688138352182186,Fail,0.0,0.0,0.0,1.0,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
18,M18,beam,full_alpha_w_theta,0.7793094594535237,0.05406631354781898,LS,0.5851714025484493,0.973447516358598,IO|LS|CP,0.0,0.965625,0.034375,0.0,"N(alpha,w,theta,transport); source=illustrative",illustrative
19,M19,beam,reduced_alpha_only,0.5441857049744638,0.050022818829857124,IO,0.35004764806938954,0.7383237618795382,IO|LS,0.978125,0.021875,0.0,0.0,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
20,M20,beam,reduced_alpha_only,0.7641873730527261,0.05944264192885707,LS,0.5700493161476519,0.9583254299578003,IO|LS|CP,0.009375,0.95625,0.034375,0.0,"N_reduced(alpha,transport) with extra uncertainty; source=illustrative",illustrative
