member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.654061635995375,0.20013131555891037,0.35,0.9832776500897826,0.2482037877028352,False,True,trades_off,hierarchical_laplace_sparse,illustrative
1,M01,column,1,1,1,5,0.7947041466463862,0.14615093363977757,0.5542858608089521,1.0,0.37068227269419723,True,True,separable,hierarchical_laplace_sparse,illustrative
2,M02,column,1,2,2,6,0.7946699357385121,0.14633020901797097,0.5539567419039498,1.0,0.37068227269419723,True,True,separable,hierarchical_laplace_sparse,illustrative
3,M03,column,1,3,3,7,0.6545194968415654,0.20069369372489232,0.35,0.9846606230190132,0.2397467385361881,False,True,trades_off,hierarchical_laplace_sparse,illustrative
4,M04,column,2,0,4,8,0.9872081529014693,0.05261356229492644,0.9006588429263154,1.0,0.07312861785518483,True,True,separable,hierarchical_laplace_sparse,illustrative
5,M05,column,2,1,5,9,0.7036632009588303,0.15918567490611793,0.44180276573826627,0.9655236361793943,0.6676661604258922,True,True,separable,hierarchical_laplace_sparse,illustrative
6,M06,column,2,2,6,10,0.703326891281123,0.15924837459555463,0.44136331507143567,0.9652904674908104,0.6676661604258922,True,True,separable,hierarchical_laplace_sparse,illustrative
7,M07,column,2,3,7,11,0.9871682077725532,0.052643526980112834,0.9005696058902676,1.0,0.07306165052853292,True,True,separable,hierarchical_laplace_sparse,illustrative
8,M08,column,3,0,8,12,0.991994240474101,0.049036085469592816,0.9113298798766208,1.0,0.05296913609463742,True,True,separable,hierarchical_laplace_sparse,illustrative
9,M09,column,3,1,9,13,0.734131366838103,0.1577345394831148,0.47465804938837913,0.9936046842878268,0.5248572214665941,True,True,separable,hierarchical_laplace_sparse,illustrative
10,M10,column,3,2,10,14,0.7340177071798457,0.1576903933249916,0.47461701016023455,0.9934184041994569,0.5248572214665941,True,True,separable,hierarchical_laplace_sparse,illustrative
11,M11,column,3,3,11,15,0.9919980335355916,0.04903282433123859,0.9113390375107041,1.0,0.05306369451297557,True,True,separable,hierarchical_laplace_sparse,illustrative
12,M12,beam,1,0,4,5,0.9690358035768301,0.06814345468853183,0.8569398206141952,1.0,0.05472649318453026,True,True,separable,hierarchical_laplace_sparse,illustrative
13,M13,beam,1,1,5,6,0.9916258318210907,0.04924385285815801,0.9106196938694208,1.0,0.02200210969827984,True,True,separable,hierarchical_laplace_sparse,illustrative
14,M14,beam,1,2,6,7,0.9695340800621794,0.06772351332730847,0.858128900638757,1.0,0.05472649318453026,True,True,separable,hierarchical_laplace_sparse,illustrative
15,M15,beam,2,0,8,9,0.9880590860824077,0.05197859707908223,0.9025542938873174,1.0,0.021424032224987677,True,True,separable,hierarchical_laplace_sparse,illustrative
16,M16,beam,2,1,9,10,0.9946364244063204,0.047566225364933275,0.9163899836810051,1.0,0.010747061435964433,True,True,separable,hierarchical_laplace_sparse,illustrative
17,M17,beam,2,2,10,11,0.9880636725405055,0.05197496785334707,0.9025648504217496,1.0,0.021413443827355404,True,True,separable,hierarchical_laplace_sparse,illustrative
18,M18,beam,3,0,12,13,0.9947546785519006,0.047511861682405315,0.9165976660843438,1.0,0.03352649041151631,True,True,separable,hierarchical_laplace_sparse,illustrative
19,M19,beam,3,1,13,14,0.9981799803461546,0.04638009597759154,0.9218847224630166,1.0,0.010279084899291767,True,True,separable,hierarchical_laplace_sparse,illustrative
20,M20,beam,3,2,14,15,0.9947577607999376,0.047510365072051135,0.9166032102564134,1.0,0.03351955808229356,True,True,separable,hierarchical_laplace_sparse,illustrative
