member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.6736646548032585,0.17192739627612608,0.39084408792903114,0.956485221677486,0.12980192040441035,False,True,trades_off,weak_gaussian_flat,illustrative
1,M01,column,1,1,1,5,0.6970810721783367,0.1434032374169607,0.4611827466274363,0.9329793977292371,0.5894231799947904,True,True,separable,weak_gaussian_flat,illustrative
2,M02,column,1,2,2,6,0.6971458706164937,0.14213195940880727,0.46333879738900574,0.9309529438439816,0.5894231799947904,True,True,separable,weak_gaussian_flat,illustrative
3,M03,column,1,3,3,7,0.673255744838616,0.17200430336043018,0.3903086658107084,0.9562028238665237,0.14174870178716542,False,True,trades_off,weak_gaussian_flat,illustrative
4,M04,column,2,0,4,8,0.7265750609106841,0.1633201861399118,0.4579133547105292,0.9952367671108391,0.22379261736099584,True,True,separable,weak_gaussian_flat,illustrative
5,M05,column,2,1,5,9,0.6723266346113927,0.15190116247545435,0.42244922233927035,0.9222040468835151,0.4063865105242415,True,True,separable,weak_gaussian_flat,illustrative
6,M06,column,2,2,6,10,0.6720973186410034,0.1516546296309656,0.42262545289806497,0.9215691843839419,0.4063865105242415,True,True,separable,weak_gaussian_flat,illustrative
7,M07,column,2,3,7,11,0.7258873033791923,0.16353325196249305,0.4568751039008912,0.9948995028574934,0.22523780700735896,True,True,separable,weak_gaussian_flat,illustrative
8,M08,column,3,0,8,12,0.7703286299443509,0.17324910486601683,0.48533385243975324,1.0,0.148994996183362,False,True,trades_off,weak_gaussian_flat,illustrative
9,M09,column,3,1,9,13,0.643154554734644,0.15450442227847014,0.38899478008656063,0.8973143293827274,0.356601278031393,True,True,separable,weak_gaussian_flat,illustrative
10,M10,column,3,2,10,14,0.6431757181810962,0.15457852386515347,0.38889404642291875,0.8974573899392737,0.356601278031393,True,True,separable,weak_gaussian_flat,illustrative
11,M11,column,3,3,11,15,0.7702525880669057,0.1733125854368539,0.485153385023281,1.0,0.14852333612094815,False,True,trades_off,weak_gaussian_flat,illustrative
12,M12,beam,1,0,4,5,0.752377754646619,0.1587144979067741,0.4912924055899756,1.0,0.28600325515104613,True,True,separable,weak_gaussian_flat,illustrative
13,M13,beam,1,1,5,6,0.8162226272408271,0.17277755385350999,0.5320035511518031,1.0,0.1562191093587935,False,True,trades_off,weak_gaussian_flat,illustrative
14,M14,beam,1,2,6,7,0.7523427451355791,0.15873997730243825,0.4912154824730682,1.0,0.28600325515104613,True,True,separable,weak_gaussian_flat,illustrative
15,M15,beam,2,0,8,9,0.780089235501057,0.17244921587214904,0.49641027539137184,1.0,0.1352839943160288,False,True,trades_off,weak_gaussian_flat,illustrative
16,M16,beam,2,1,9,10,0.8273410843769771,0.1770581042798335,0.5360805028366509,1.0,0.08688216619434992,False,True,trades_off,weak_gaussian_flat,illustrative
17,M17,beam,2,2,10,11,0.7800566783680116,0.17244930533472203,0.4963775710923939,1.0,0.13527368115473395,False,True,trades_off,weak_gaussian_flat,illustrative
18,M18,beam,3,0,12,13,0.8219326280341727,0.17756625883468755,0.5298361322511116,1.0,0.0928685131277338,False,True,trades_off,weak_gaussian_flat,illustrative
19,M19,beam,3,1,13,14,0.8702325797432467,0.17965202638204888,0.5747049963447763,1.0,0.03398364704427951,False,True,trades_off,weak_gaussian_flat,illustrative
20,M20,beam,3,2,14,15,0.8218972226501412,0.17756649036996308,0.5298003459915519,1.0,0.09287133163922977,False,True,trades_off,weak_gaussian_flat,illustrative
