member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.5495989852894224,0.22266007179810796,0.35,0.9158748033973101,0.24795517405109693,False,True,trades_off,hierarchical_horseshoe,illustrative
1,M01,column,1,1,1,5,0.9993340195797111,0.009831589708830643,0.9831610545086847,1.0,0.020139552464917148,True,True,separable,hierarchical_horseshoe,illustrative
2,M02,column,1,2,2,6,0.9991564740763627,0.009843552992795794,0.9829638294032136,1.0,0.030083157013876864,True,True,separable,hierarchical_horseshoe,illustrative
3,M03,column,1,3,3,7,0.5511482705409904,0.2539086442955209,0.35,0.9688279904071222,0.21506984002310114,False,True,trades_off,hierarchical_horseshoe,illustrative
4,M04,column,2,0,4,8,0.9993294354429724,0.009828240823155275,0.9831619792888819,1.0,0.017617243210553954,True,True,separable,hierarchical_horseshoe,illustrative
5,M05,column,2,1,5,9,0.55526153748261,0.21347142470751979,0.35,0.90642203112648,0.7746258029091173,False,True,trades_off,hierarchical_horseshoe,illustrative
6,M06,column,2,2,6,10,0.5276970073134731,0.17828189200575073,0.35,0.8209707196629331,0.7746258029091173,False,True,trades_off,hierarchical_horseshoe,illustrative
7,M07,column,2,3,7,11,0.9990911833969272,0.009845058431768632,0.9828960622766677,1.0,0.019378320627662347,True,True,separable,hierarchical_horseshoe,illustrative
8,M08,column,3,0,8,12,0.9994673924221028,0.009822293974477467,0.9833097188340874,1.0,0.012269211202164109,True,True,separable,hierarchical_horseshoe,illustrative
9,M09,column,3,1,9,13,0.3673051102678095,0.258760067180054,0.35,0.7929654207789983,0.8867158644742799,False,False,trades_off,hierarchical_horseshoe,illustrative
10,M10,column,3,2,10,14,0.39618349093457245,0.2662334450206221,0.35,0.8341375079934958,0.8867158644742799,False,False,trades_off,hierarchical_horseshoe,illustrative
11,M11,column,3,3,11,15,0.9994628545915427,0.009822308353076991,0.9833051573507311,1.0,0.012878370963497608,True,True,separable,hierarchical_horseshoe,illustrative
12,M12,beam,1,0,4,5,0.3500000000585093,0.11727979378684729,0.35,0.5429252608378731,0.19492630087790133,True,True,separable,hierarchical_horseshoe,illustrative
13,M13,beam,1,1,5,6,0.9992680882770083,0.009835927836625617,0.9830879869857592,1.0,0.030444751968034586,True,True,separable,hierarchical_horseshoe,illustrative
14,M14,beam,1,2,6,7,0.9991001069231461,0.009848739290776039,0.9828989307898195,1.0,0.03472181820524153,True,True,separable,hierarchical_horseshoe,illustrative
15,M15,beam,2,0,8,9,0.9994056417976587,0.009827539613200258,0.9832393391339442,1.0,0.02214530990077432,True,True,separable,hierarchical_horseshoe,illustrative
16,M16,beam,2,1,9,10,0.999800507182966,0.00981298440652937,0.9836581478342251,1.0,0.00733028927033228,True,True,separable,hierarchical_horseshoe,illustrative
17,M17,beam,2,2,10,11,0.9993390838052656,0.009831421718748956,0.9831663950779236,1.0,0.025028792931269903,True,True,separable,hierarchical_horseshoe,illustrative
18,M18,beam,3,0,12,13,0.9996745273904588,0.009815669373446747,0.9835277512711389,1.0,0.0052678664173864435,True,True,separable,hierarchical_horseshoe,illustrative
19,M19,beam,3,1,13,14,0.9999735048391486,0.009811163902654725,0.9838341402192816,1.0,0.0007227181041986983,True,True,separable,hierarchical_horseshoe,illustrative
20,M20,beam,3,2,14,15,0.9996740795830213,0.009815649993028808,0.983527335344489,1.0,0.005450457088564118,True,True,separable,hierarchical_horseshoe,illustrative
