member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.6780939907322526,0.2577315584548261,0.35,1.0,0.24364130696431255,False,True,trades_off,hierarchical_laplace_sparse,illustrative
1,M01,column,1,1,1,5,0.9679841476652502,0.08933111984615033,0.8210344555183329,1.0,0.11887460991636037,True,True,separable,hierarchical_laplace_sparse,illustrative
2,M02,column,1,2,2,6,0.9801381105923314,0.07517891509657192,0.8564687952584705,1.0,0.07530252839346592,True,True,separable,hierarchical_laplace_sparse,illustrative
3,M03,column,1,3,3,7,0.5786917735780324,0.2650665234179817,0.35,1.0,0.5133085227861857,False,True,trades_off,hierarchical_laplace_sparse,illustrative
4,M04,column,2,0,4,8,0.7023807943501842,0.1963389354113294,0.3794032455985473,1.0,0.5133085227861857,False,True,trades_off,hierarchical_laplace_sparse,illustrative
5,M05,column,2,1,5,9,0.5683463094593938,0.2064427335069756,0.35,0.9079446060783687,0.8850137933735652,False,False,trades_off,hierarchical_laplace_sparse,illustrative
6,M06,column,2,2,6,10,0.5885301360626338,0.23994413977077475,0.35,0.9832382459855583,0.8850137933735652,False,False,trades_off,hierarchical_laplace_sparse,illustrative
7,M07,column,2,3,7,11,0.987406191155255,0.06640623430899933,0.8781679357169511,1.0,0.10135232701494257,True,True,separable,hierarchical_laplace_sparse,illustrative
8,M08,column,3,0,8,12,0.9916442821927756,0.06242881876399127,0.88894887532601,1.0,0.053539289130207446,True,True,separable,hierarchical_laplace_sparse,illustrative
9,M09,column,3,1,9,13,0.39210870194220987,0.27558952801164366,0.35,0.8454534755213636,0.9188095165463218,False,False,trades_off,hierarchical_laplace_sparse,illustrative
10,M10,column,3,2,10,14,0.36743994885326015,0.2666209470840199,0.35,0.8060314068064729,0.9188095165463218,False,False,trades_off,hierarchical_laplace_sparse,illustrative
11,M11,column,3,3,11,15,0.9907546612763015,0.0631869108369689,0.8868121929494877,1.0,0.06370016511699278,True,True,separable,hierarchical_laplace_sparse,illustrative
12,M12,beam,1,0,4,5,0.7192068619680327,0.23871864014451694,0.35,1.0,0.693730637942249,False,True,trades_off,hierarchical_laplace_sparse,illustrative
13,M13,beam,1,1,5,6,0.9843969833921585,0.07010943286082905,0.8690669663360947,1.0,0.13481505193842894,True,True,separable,hierarchical_laplace_sparse,illustrative
14,M14,beam,1,2,6,7,0.3500000000000176,0.18149385807664103,0.35,0.648557396536092,0.693730637942249,False,True,trades_off,hierarchical_laplace_sparse,illustrative
15,M15,beam,2,0,8,9,0.9901319792663651,0.06394738197807724,0.884938535912428,1.0,0.08008035676307351,True,True,separable,hierarchical_laplace_sparse,illustrative
16,M16,beam,2,1,9,10,0.9968361916011141,0.0591400442661127,0.8995508187833587,1.0,0.027298843266016656,True,True,separable,hierarchical_laplace_sparse,illustrative
17,M17,beam,2,2,10,11,0.9895479708570731,0.0645251746820112,0.8834040585051647,1.0,0.08266606477638376,True,True,separable,hierarchical_laplace_sparse,illustrative
18,M18,beam,3,0,12,13,0.9949947932043057,0.06002629826886703,0.8962515325520195,1.0,0.02405278305690529,True,True,separable,hierarchical_laplace_sparse,illustrative
19,M19,beam,3,1,13,14,0.9996077113441905,0.05851588464656426,0.9033490811005922,1.0,0.0019079529288196693,True,True,separable,hierarchical_laplace_sparse,illustrative
20,M20,beam,3,2,14,15,0.9949691099850805,0.060039654569758655,0.8962038782178274,1.0,0.024965269243721236,True,True,separable,hierarchical_laplace_sparse,illustrative
