member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.8114812518267605,0.17021408191760687,0.5314790870722972,1.0,0.1555046051005686,False,True,trades_off,weak_gaussian_flat,illustrative
1,M01,column,1,1,1,5,0.7929159933602459,0.16266522151481944,0.5253317039683679,1.0,0.201112108862923,True,True,separable,weak_gaussian_flat,illustrative
2,M02,column,1,2,2,6,0.7824052370814213,0.16443996476209724,0.5119014950477714,1.0,0.26102375569326985,True,True,separable,weak_gaussian_flat,illustrative
3,M03,column,1,3,3,7,0.7272269052932475,0.0860191178624691,0.5857254564094858,0.8687283541770092,0.8478749216049549,True,False,trades_off,weak_gaussian_flat,illustrative
4,M04,column,2,0,4,8,0.8360210840544485,0.16416896160140576,0.5659631422201361,1.0,0.25735035849377563,True,True,separable,weak_gaussian_flat,illustrative
5,M05,column,2,1,5,9,0.8017634587416352,0.15186030631809036,0.5519532548483765,1.0,0.38371514602660917,True,True,separable,weak_gaussian_flat,illustrative
6,M06,column,2,2,6,10,0.7947911309296198,0.15368789848576836,0.541974537920531,1.0,0.38371514602660917,True,True,separable,weak_gaussian_flat,illustrative
7,M07,column,2,3,7,11,0.7911443187992439,0.15018546300477795,0.5440892321563842,1.0,0.8478749216049549,True,False,trades_off,weak_gaussian_flat,illustrative
8,M08,column,3,0,8,12,0.8567611596809066,0.17359842090411165,0.5711917572936429,1.0,0.1377891010817797,False,True,trades_off,weak_gaussian_flat,illustrative
9,M09,column,3,1,9,13,0.8198144891776022,0.1577103307610906,0.5603809950756082,1.0,0.2964206323164125,True,True,separable,weak_gaussian_flat,illustrative
10,M10,column,3,2,10,14,0.8177524476920095,0.15841436883851467,0.5571608109526529,1.0,0.2964206323164125,True,True,separable,weak_gaussian_flat,illustrative
11,M11,column,3,3,11,15,0.8453050599429861,0.17402090933548206,0.5590406640861181,1.0,0.18402924014663516,False,True,trades_off,weak_gaussian_flat,illustrative
12,M12,beam,1,0,4,5,0.8467498962231376,0.1647193851455078,0.5757865076587773,1.0,0.1816081621671671,True,True,separable,weak_gaussian_flat,illustrative
13,M13,beam,1,1,5,6,0.8687446635909234,0.17440975779001702,0.5818406120263454,1.0,0.11235997907888066,False,True,trades_off,weak_gaussian_flat,illustrative
14,M14,beam,1,2,6,7,0.8493535674480315,0.16641664627931074,0.5755981843185654,1.0,0.1816081621671671,True,True,separable,weak_gaussian_flat,illustrative
15,M15,beam,2,0,8,9,0.8569612033572795,0.17463228213841306,0.56969109923959,1.0,0.10962223511948582,False,True,trades_off,weak_gaussian_flat,illustrative
16,M16,beam,2,1,9,10,0.871078140657165,0.1774473614834255,0.5791772310169301,1.0,0.07343654533067227,False,True,trades_off,weak_gaussian_flat,illustrative
17,M17,beam,2,2,10,11,0.8576792708906447,0.1748480170680874,0.5700542828136409,1.0,0.10684392192164885,False,True,trades_off,weak_gaussian_flat,illustrative
18,M18,beam,3,0,12,13,0.8722814288673859,0.17750402510065,0.5802873075768167,1.0,0.09257722900775398,False,True,trades_off,weak_gaussian_flat,illustrative
19,M19,beam,3,1,13,14,0.8864243216454932,0.17942040375689272,0.5912777574654047,1.0,0.043195859830224226,False,True,trades_off,weak_gaussian_flat,illustrative
20,M20,beam,3,2,14,15,0.8725537075118229,0.17759203284787362,0.5804148134770708,1.0,0.09089123354462464,False,True,trades_off,weak_gaussian_flat,illustrative
