member_id,member,kind,storey,bay,node_i,node_j,alpha_mean,alpha_sd,alpha_p05,alpha_p95,max_abs_parameter_correlation,sd_threshold_pass,correlation_threshold_pass,identifiability,prior,source
0,M00,column,1,0,0,4,0.6422303569111819,0.159056776604831,0.3805819593962349,0.9038787544261289,0.7424801248220253,True,True,separable,hierarchical_horseshoe,illustrative
1,M01,column,1,1,1,5,0.9986319780463502,0.006679881295336562,0.9876435733155216,1.0,0.015405137961574262,True,True,separable,hierarchical_horseshoe,illustrative
2,M02,column,1,2,2,6,0.9986113030873861,0.00668221934030228,0.9876190522725888,1.0,0.02668242882625291,True,True,separable,hierarchical_horseshoe,illustrative
3,M03,column,1,3,3,7,0.6117874708874778,0.029101734920537022,0.5639151169431944,0.6596598248317611,0.31526203589838286,True,True,separable,hierarchical_horseshoe,illustrative
4,M04,column,2,0,4,8,0.9995426262865873,0.0066364364688735996,0.9886256882952902,1.0,0.02319423487363603,True,True,separable,hierarchical_horseshoe,illustrative
5,M05,column,2,1,5,9,0.49504325717320985,0.09037455485836766,0.35,0.6437093999152247,0.7424801248220253,True,True,separable,hierarchical_horseshoe,illustrative
6,M06,column,2,2,6,10,0.9975552527952567,0.006790618206300921,0.9863846858458917,1.0,0.026290013787694955,True,True,separable,hierarchical_horseshoe,illustrative
7,M07,column,2,3,7,11,0.9994983707975653,0.006636844515800617,0.9885807615690733,1.0,0.044727752189542044,True,True,separable,hierarchical_horseshoe,illustrative
8,M08,column,3,0,8,12,0.9996739958335592,0.006634090680784557,0.9887609166636686,1.0,0.02244522753017089,True,True,separable,hierarchical_horseshoe,illustrative
9,M09,column,3,1,9,13,0.999273086810311,0.006645593390856121,0.9883410856823527,1.0,0.0338659748317547,True,True,separable,hierarchical_horseshoe,illustrative
10,M10,column,3,2,10,14,0.3500000000961393,0.08798259507662679,0.35,0.4947313689971904,0.5640047059368719,True,True,separable,hierarchical_horseshoe,illustrative
11,M11,column,3,3,11,15,0.9997211233046064,0.006633327477197643,0.9888092996046163,1.0,0.018032076850992642,True,True,separable,hierarchical_horseshoe,illustrative
12,M12,beam,1,0,4,5,0.9990118910432505,0.006656413085899068,0.9880620915169466,1.0,0.0035381222391754857,True,True,separable,hierarchical_horseshoe,illustrative
13,M13,beam,1,1,5,6,0.999258422696426,0.00664549609477541,0.9883265816205205,1.0,0.0032979786587192463,True,True,separable,hierarchical_horseshoe,illustrative
14,M14,beam,1,2,6,7,0.9988656537459549,0.006664217305626737,0.987903016278199,1.0,0.003506418997861204,True,True,separable,hierarchical_horseshoe,illustrative
15,M15,beam,2,0,8,9,0.999227350240266,0.006646976893730105,0.98829307325008,1.0,0.010734779063300547,True,True,separable,hierarchical_horseshoe,illustrative
16,M16,beam,2,1,9,10,0.9995801203031327,0.006636016723010294,0.9886638727937808,1.0,0.004987473076312346,True,True,separable,hierarchical_horseshoe,illustrative
17,M17,beam,2,2,10,11,0.9992178982563863,0.006647345040427167,0.9882830156648836,1.0,0.008028028253746943,True,True,separable,hierarchical_horseshoe,illustrative
18,M18,beam,3,0,12,13,0.9996677376081686,0.0066343555868800174,0.988754222667751,1.0,0.016253779341943702,True,True,separable,hierarchical_horseshoe,illustrative
19,M19,beam,3,1,13,14,0.9998905458316522,0.006631706739299652,0.9889813882455042,1.0,0.0038217745397255854,True,True,separable,hierarchical_horseshoe,illustrative
20,M20,beam,3,2,14,15,0.9997774192207854,0.00663271566391302,0.9888666019536485,1.0,0.01135915779486137,True,True,separable,hierarchical_horseshoe,illustrative
