,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M00,1.0,-0.2482037877028352,-0.2472021613639851,-0.22582769974971095,0.0007569295477875429,-0.10689754712251008,-0.10630139271357265,0.0009879401838321321,-0.005681292145693788,-0.14739309188537045,-0.1473376295086995,-0.005620774410483909,-0.006237446456879571,-0.0031339387209700156,-0.006196613311561796,-0.011805186179508724,-0.005810604595971343,-0.011804708718653361,-0.005206430389338604,-0.0023667533367876976,-0.005206512162075394
M01,-0.2482037877028352,0.9999999999999999,-0.37068227269419723,-0.2397467385361881,0.03202296045961267,-0.030346857943170612,-0.029279462976704588,0.03245361607172848,0.020305826258092356,0.023347939285020446,0.023642690341844966,0.020403344436933975,-0.02308238080793134,-0.011487873534986624,-0.02291928361869539,-0.015225617591558497,-0.007916954355078557,-0.015226101326202262,0.007290048015135362,0.00048247289059831825,0.007286453913186573
M02,-0.2472021613639851,-0.37068227269419723,1.0,-0.2391412210239814,0.03177430643804861,-0.029773701855303147,-0.028788779463482777,0.032182831917375344,0.020112636344313612,0.022120927714818068,0.022392590465483826,0.02020392405929432,-0.02397477495923898,-0.011829389906110915,-0.023805051394988987,-0.015621711318614092,-0.00811203287352779,-0.015622065411560604,0.007126219773162689,0.00042441102132769544,0.007122500932221268
M03,-0.22582769974971095,-0.2397467385361881,-0.2391412210239814,0.9999999999999998,-0.0005971630911584896,-0.1034512780544274,-0.10325446189615518,-0.00047833050308109155,-0.006703520547975247,-0.1539496377804525,-0.154006300193355,-0.006674861556602791,-0.01182114770696435,-0.0052837577230337345,-0.011738918717546409,-0.014258949577276176,-0.007021732793079745,-0.014257449340768566,-0.006128146258612988,-0.0027038237287341444,-0.0061287206410744755
M04,0.0007569295477875429,0.03202296045961267,0.03177430643804861,-0.0005971630911584896,1.0,-0.07284571196871154,-0.07312861785518483,-0.014198634356585495,-0.0074630194724847575,-0.0336636959838222,-0.03373382268145174,-0.0074829136684416205,-0.0023220737488249977,-0.00023723032315641767,-0.0023051181972566846,0.0004887578690311556,0.0003486820409187795,0.0004897047347289698,-0.00299824717725679,-0.0005505514249109967,-0.0029977023987538586
M05,-0.10689754712251008,-0.030346857943170612,-0.029773701855303147,-0.1034512780544274,-0.07284571196871154,1.0,-0.6676661604258922,-0.07275599224710853,-0.017258051312350853,0.03186893418166455,0.03210562031322421,-0.017220589791609033,-0.005077152831310339,0.00119803152812693,-0.005025121125577218,0.020628643338060377,0.010472669820428764,0.020623478770370494,0.0017963097390690417,0.002894574265133834,0.001793798913896056
M06,-0.10630139271357265,-0.029279462976704588,-0.028788779463482777,-0.10325446189615518,-0.07312861785518483,-0.6676661604258922,1.0,-0.07306165052853292,-0.017430480364203967,0.030843451531823628,0.031056080279058713,-0.017399482393165955,-0.006036743365037406,0.0008302575780670032,-0.0059775682376719454,0.02023075823209666,0.010276235845367005,0.020225709511799854,0.0016512429090549687,0.00284224537597553,0.0016485447973001574
M07,0.0009879401838321321,0.03245361607172848,0.032182831917375344,-0.00047833050308109155,-0.014198634356585495,-0.07275599224710853,-0.07306165052853292,1.0,-0.0075272124066595005,-0.03408934783232103,-0.03416593801097998,-0.007548932088539433,-0.0026199169338937357,-0.0003514117962482026,-0.002600781352461603,0.00035664397468863256,0.0002836103751873362,0.00035764678453864253,-0.00305201445656273,-0.0005696995771921544,-0.0030515165866553907
M08,-0.005681292145693788,0.020305826258092356,0.020112636344313612,-0.006703520547975247,-0.0074630194724847575,-0.017258051312350853,-0.017430480364203967,-0.0075272124066595005,1.0,-0.05288516132683989,-0.05296913609463742,-0.0069435384025492266,0.0020269805758444974,0.0011716183933824147,0.0020116598904598745,-0.0008125214792485318,-0.0002992931098576984,-0.0008118163837365555,-0.0037072315315755545,-0.0009759357551985023,-0.0037064100664995748
M09,-0.14739309188537045,0.023347939285020446,0.022120927714818068,-0.1539496377804525,-0.0336636959838222,0.03186893418166455,0.030843451531823628,-0.03408934783232103,-0.05288516132683989,1.0,-0.5248572214665941,-0.05297776456125452,0.014687420427980886,0.007244449860413862,0.014568676254004395,-0.020731255221083735,-0.009509033325246557,-0.02072377019656106,-0.03345993632447684,-0.01025593993074443,-0.033452876526032634
