,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M00,1.0,-0.1555046051005686,-0.13464747883660544,0.03118300486677984,-0.04733598642984771,-0.08197899785013793,-0.06822663997560711,0.03129777265815045,-0.05344311566933078,-0.13041939135628003,-0.12581083324241815,-0.03429937026467391,-0.06821523132507075,-0.03694730866297981,-0.06342686058459511,-0.06685924034830253,-0.04373793159443648,-0.06492993208429002,-0.0401736412247492,-0.020593079557135692,-0.03934449769752331
M01,-0.1555046051005686,1.0,-0.201112108862923,-0.017703586420259182,-0.011570886416077281,-0.06664552385331127,-0.05139782212011522,0.07865632323398561,-0.04071866897051065,-0.13605441057216827,-0.13094939703324054,-0.020516327515090957,-0.13365423802227577,-0.07392545692683834,-0.12419810213922595,-0.10962223511948582,-0.07343654533067227,-0.10684392192164885,-0.042078288846046426,-0.024221277520490424,-0.041309097655722146
M02,-0.13464747883660544,-0.201112108862923,1.0,-0.26102375569326985,0.008392611431389824,-0.03835534605263185,-0.03683532184432302,0.01361123363182005,-0.027957097189525795,-0.11247137625995098,-0.11160762207480386,-0.02824267693382164,-0.1248185275525261,-0.06914821918059438,-0.11600764115181074,-0.1017508435712333,-0.06844911129142847,-0.09970434433759448,-0.03476335853051753,-0.020951520191124257,-0.03440318681113235
M03,0.03118300486677984,-0.017703586420259182,-0.26102375569326985,1.0,0.18081838466220249,0.22066412602119284,0.05694792902330217,-0.8478749216049549,0.06360082271314879,0.04538803084707698,-0.0043913538525589295,-0.18402924014663516,-0.030549617523144373,-0.016783059630001994,-0.02875584102841164,-0.03949198218607225,-0.02825905445490212,-0.04552338201011713,0.014680822947773044,0.0005186314724804932,0.010718570704234463
M04,-0.04733598642984771,-0.011570886416077281,0.008392611431389824,0.18081838466220249,1.0,-0.25735035849377563,-0.2427576357730576,-0.14109070755317907,-0.07611839092366728,-0.06920772058973144,-0.06526808443555603,-0.05332279076692651,0.027468099871403764,0.015029464519642195,0.024097943320869907,0.03577028131530597,0.02532606439748186,0.0361956925164579,-0.021140401761865265,-0.003801360022898748,-0.020199768312480673
M05,-0.08197899785013793,-0.06664552385331127,-0.03835534605263185,0.22066412602119284,-0.25735035849377563,1.0,-0.38371514602660917,-0.17315560486672782,-0.05390358941972711,-0.004232403179868541,0.0007358285234161426,-0.02230963189865874,-0.08061662990017543,-0.048676651214127085,-0.07783698734331254,0.014824808299500518,0.007915376876493059,0.01631010157084967,-0.0015120644121076813,0.005389931173590784,-0.0006880628524127005
M06,-0.06822663997560711,-0.05139782212011522,-0.03683532184432302,0.05694792902330217,-0.2427576357730576,-0.38371514602660917,1.0,-0.21539702331987598,-0.045626830478803726,0.010244615338856367,0.012378864252071032,-0.027803533665696316,-0.07408747039649084,-0.04508865579905238,-0.07176004074161076,0.01970124109297732,0.011029822174012988,0.02069645825835548,0.002984644987543758,0.0073509066034523635,0.0035375788476592414
M07,0.03129777265815045,0.07865632323398561,0.01361123363182005,-0.8478749216049549,-0.14109070755317907,-0.17315560486672782,-0.21539702331987598,0.9999999999999999,-0.028975565180357606,0.025240784611183974,0.011513031139116102,-0.0910751080202055,0.058489594183640456,0.031465922511017506,0.05259728139368821,0.0692867515179827,0.046492710830242846,0.0667391848667514,0.008161861341919936,0.009769506990834263,0.007452133050625289
M08,-0.05344311566933078,-0.04071866897051065,-0.027957097189525795,0.06360082271314879,-0.07611839092366728,-0.05390358941972711,-0.045626830478803726,-0.028975565180357606,1.0,-0.1377891010817797,-0.13461754022481934,-0.06219870122593564,0.05471153604383291,0.03325922042243034,0.05120298147428943,-0.0008918058284639101,0.0028430872969664863,-0.0005288947903363923,-0.04209539157062252,-0.01778444469429737,-0.041201920725628664
M09,-0.13041939135628003,-0.13605441057216827,-0.11247137625995098,0.04538803084707698,-0.06920772058973144,-0.004232403179868541,0.010244615338856367,0.025240784611183974,-0.1377891010817797,1.0,-0.2964206323164125,-0.11603734511023638,0.07730320698184143,0.049514835290102574,0.07336693293590191,-0.0452403186969278,-0.02334023845855681,-0.044014339727832176,-0.09257722900775398,-0.043195859830224226,-0.09089123354462464
M10,-0.12581083324241815,-0.13094939703324054,-0.11160762207480386,-0.0043913538525589295,-0.06526808443555603,0.0007358285234161426,0.012378864252071032,0.011513031139116102,-0.13461754022481934,-0.2964206323164125,1.0,-0.1170991588445734,0.07841251905625626,0.050063454536951754,0.07438009607784708,-0.04349145724953465,-0.02226673726931649,-0.04241593030371569,-0.09065465857437854,-0.04232175666682296,-0.08905918551354175
M11,-0.03429937026467391,-0.020516327515090957,-0.02824267693382164,-0.18402924014663516,-0.05332279076692651,-0.02230963189865874,-0.027803533665696316,-0.0910751080202055,-0.06219870122593564,-0.11603734511023638,-0.1170991588445734,1.0,0.06175994651191876,0.037078356240789145,0.05776097774639176,0.004849585295422341,0.006410047262233861,0.004511093232418146,-0.035346625967686375,-0.014934899805539317,-0.034862589247174794
M12,-0.06821523132507075,-0.13365423802227577,-0.1248185275525261,-0.030549617523144373,0.027468099871403764,-0.08061662990017543,-0.07408747039649084,0.058489594183640456,0.05471153604383291,0.07730320698184143,0.07841251905625626,0.06175994651191876,0.9999999999999999,-0.11235997907888066,-0.1816081621671671,-0.0785628857182603,-0.05767633936597032,-0.07653573944305019,0.023168050565468983,0.0063900218758232855,0.02279167434975112
M13,-0.03694730866297981,-0.07392545692683834,-0.06914821918059438,-0.016783059630001994,0.015029464519642195,-0.048676651214127085,-0.04508865579905238,0.031465922511017506,0.03325922042243034,0.049514835290102574,0.050063454536951754,0.037078356240789145,-0.11235997907888066,1.0,-0.10514380015621087,-0.0437063633091975,-0.032291258903787964,-0.04256649450140533,0.014872796240703133,0.004471504416813824,0.014633419794359545
