,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M00,0.040052543467340156,-0.007259806561312163,-0.007239378885031526,-0.009070390551027891,7.970181593684839e-06,-0.0034055461757497916,-0.0033878877537044153,1.0408560690155247e-05,-5.575424842869002e-05,-0.004652849247302297,-0.004649796699835963,-5.5156679743962735e-05,-8.50640445174763e-05,-3.0885709013173476e-05,-8.398639225583927e-05,-0.00012280398063504246,-5.531399965769176e-05,-0.00012279043981065145,-4.9505923265657504e-05,-2.1968463924425128e-05,-4.95051413636046e-05
M01,-0.007259806561312163,0.021360095403778666,-0.007927521053288054,-0.007032148414707255,0.0002462412349907154,-0.0007060237471652364,-0.0006814589649801876,0.0002496948967582107,0.0001455251492376247,0.0005382412167005909,0.0005448835849230907,0.00014621430520284589,-0.0002298827284304572,-8.267862872526422e-05,-0.00022685173913526067,-0.0001156647611671422,-5.503746525338862e-05,-0.00011566035981560582,5.0621385873088137e-05,3.2704397530231928e-06,5.05948350046305e-05
M02,-0.007239378885031526,-0.007927521053288054,0.021412530071243076,-0.007022991801677361,0.0002446289099154776,-0.0006935388774488115,-0.000670860550225512,0.0002479152419189373,0.00014431743037859863,0.0005105803911681457,0.0005167060739918366,0.0001449628204096856,-0.0002390631730957244,-8.524096636799058e-05,-0.00023590796078610133,-0.00011881934514624913,-5.646279648925961e-05,-0.00011881374205320312,4.954447751321308e-05,2.880396598100992e-06,4.951706274389408e-05
M03,-0.009070390551027891,-0.007032148414707255,-0.007022991801677361,0.04027795870094088,-6.305570577542364e-06,-0.003305016024965006,-0.003300027524253775,-5.053668853849724e-06,-6.597090842863407e-05,-0.004873480130048208,-0.004873909380368299,-6.568449998410443e-05,-0.00016166556239936527,-5.221901153570174e-05,-0.00015955165072206967,-0.0001487461771459438,-6.703115674572284e-05,-0.00014872014241922984,-5.843390309516637e-05,-2.516771250224083e-05,-5.8437539197941385e-05
M04,7.970181593684839e-06,0.0002462412349907154,0.0002446289099154776,-6.305570577542364e-06,0.002768186937362105,-0.0006101065434177696,-0.0006127172129158031,-3.932685899467321e-05,-1.9254315133856573e-05,-0.00027937420568591186,-0.00027987783236856697,-1.9304357506956487e-05,-8.325261113170823e-06,-6.146387442425789e-07,-8.21354019471897e-06,1.336644832275454e-06,8.726216344409669e-07,1.3391407934464834e-06,-7.494923232406345e-06,-1.3434677371661134e-06,-7.493325367288681e-06
M05,-0.0034055461757497916,-0.0007060237471652364,-0.0006935388774488115,-0.003305016024965006,-0.0006101065434177696,0.025340079095316267,-0.016925377218550794,-0.0006097021538983601,-0.0001347136279889922,0.0008001995899530232,0.0008059169405666194,-0.00013441226959883044,-5.5074221517473786e-05,9.391268457076863e-06,-5.417388701749959e-05,0.00017068651205244528,7.929760737865414e-05,0.0001706318645266912,1.3585863772188842e-05,2.137077749829242e-05,1.3566446527003898e-05
M06,-0.0033878877537044153,-0.0006814589649801876,-0.000670860550225512,-0.003300027524253775,-0.0006127172129158031,-0.016925377218550794,0.02536004481132609,-0.0006125047564336411,-0.0001361131728229485,0.0007747557038143378,0.0007798783881535833,-0.0001358620761525279,-6.550913562913925e-05,6.510882855091769e-06,-6.446723311241089e-05,0.00016746024487626252,7.78408842066987e-05,0.00016740676464375108,1.2493612214456916e-05,2.0992696156053412e-05,1.2472804894813999e-05
M07,1.0408560690155247e-05,0.0002496948967582107,0.0002479152419189373,-5.053668853849724e-06,-3.932685899467321e-05,-0.0006097021538983601,-0.0006125047564336411,0.0027713409329058677,-1.9430990653771078e-05,-0.00028306780230642216,-0.0002836243823999172,-1.9485762561972478e-05,-9.398458919961413e-06,-9.109894321663539e-07,-9.27231764408004e-06,9.758979888287336e-07,7.101756570894894e-07,9.785736839088013e-07,-7.633674058260288e-06,-1.3909852294610205e-06,-7.63218837067264e-06
M08,-5.575424842869002e-05,0.0001455251492376247,0.00014431743037859863,-6.597090842863407e-05,-1.9254315133856573e-05,-0.0001347136279889922,-0.0001361131728229485,-1.9430990653771078e-05,0.0024045376781812117,-0.00040905003016967784,-0.00040958488330205644,-1.6694889343583687e-05,6.773131814256716e-06,2.829137136016307e-06,6.680513259084619e-06,-2.070976626666587e-06,-6.98089653701916e-07,-2.0690349869401287e-06,-8.637092119271692e-06,-2.2195690781883434e-06,-8.634906267761132e-06
M09,-0.004652849247302297,0.0005382412167005909,0.0005105803911681457,-0.004873480130048208,-0.00027937420568591186,0.0008001995899530232,0.0007747557038143378,-0.00028306780230642216,-0.00040905003016967784,0.024880184945950307,-0.013054889963217981,-0.00040973903550603865,0.0001578688612365545,5.6270948816386545e-05,0.00015562751211149856,-0.00016997183145023656,-7.134472376619147e-05,-0.0001698985996706059,-0.0002507575166864704,-7.502982157937315e-05,-0.00025069671158487405
