,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M00,0.028972833683053784,-0.004305597718997007,-0.003768782613864605,0.0004565711163886624,-0.001322750607490223,-0.002119055655225858,-0.0017847982954259179,0.0008000862669395596,-0.0015791850580931955,-0.0035010458500237037,-0.003392408140793176,-0.0010159751063032977,-0.001912588567284484,-0.001096854634035407,-0.0017966582175714721,-0.0019873824668320524,-0.0013210622233065894,-0.0019324183226144462,-0.0012137937279776232,-0.0006289101641471786,-0.001189331633688343
M01,-0.004305597718997007,0.026459974290465278,-0.005379480084303637,-0.000247714226186298,-0.00030899566780946035,-0.0016463037464070815,-0.0012849289027469998,0.0019215701702677381,-0.0011498311038879259,-0.0034903379288768266,-0.0033743706371964785,-0.0005807587556029377,-0.0035811470602241874,-0.0020972949225658167,-0.0033620675428706346,-0.0031139948589218877,-0.0021197102174605365,-0.0030388218582322792,-0.001214957216761414,-0.0007069091194749622,-0.0011933391695792533
M02,-0.003768782613864605,-0.005379480084303637,0.027040502010959783,-0.0036921759891777187,0.00022656642004839243,-0.0009578059972558037,-0.0009309181890284298,0.0003361497258233942,-0.0007980777841936503,-0.0029168193140345243,-0.00290733985283059,-0.0008081922228169701,-0.0033808907917654745,-0.001983166391715783,-0.0031746126085020155,-0.002921930777614091,-0.001997306590148101,-0.002866699484412453,-0.0010146991771185633,-0.000618151239599422,-0.0010046840954204455
M03,0.0004565711163886624,-0.000247714226186298,-0.0036921759891777187,0.007399288637837352,0.0025534574238479995,0.002882511114204656,0.000752857171484838,-0.010953544379433001,0.0009497372860088651,0.0006157387254882541,-5.9839504614248425e-05,-0.002754756719775206,-0.0004328580257439666,-0.0002517890858504194,-0.0004116402413273766,-0.0005932372956496943,-0.00043134240640842935,-0.0006846840563595151,0.000224157663528247,8.004342840399492e-06,0.00016374020888814734
M04,-0.001322750607490223,-0.00030899566780946035,0.00022656642004839243,0.0025534574238479995,0.02695144795328384,-0.006415937140352174,-0.006124965158196461,-0.003478703069305509,-0.0021693339885286243,-0.001791866868331637,-0.0016974089557771068,-0.001523369850260377,0.0007427871491816887,0.0004303336802762332,0.0006583666077147428,0.001025505364135008,0.0007377824226246124,0.0010389835052177733,-0.0006160450799075272,-0.00011197005305447978,-0.0005889262574779197
M05,-0.002119055655225858,-0.0016463037464070815,-0.0009578059972558037,0.002882511114204656,-0.006415937140352174,0.023061552635024237,-0.008955562842206086,-0.003949196314979638,-0.001421044662132706,-0.00010136579856916619,1.7701719781433568e-05,-0.0005895737106430866,-0.0020165714904641498,-0.001289245853070035,-0.0019671027953012624,0.00039314964446124026,0.00021329732822496648,0.0004330735386180462,-4.075892950511045e-05,0.00014685857868415255,-1.855649126751963e-05
M06,-0.0017847982954259179,-0.0012849289027469998,-0.0009309181890284298,0.000752857171484838,-0.006124965158196461,-0.008955562842206086,0.02361997014097184,-0.004971726929822489,-0.001217322764451234,0.0002483107210392713,0.0003013804270459128,-0.000743602945747619,-0.0018755521805617252,-0.0012085865011190232,-0.0018353509221626615,0.0005287590179887938,0.0003007999286393479,0.0005561557291927535,8.142177364447602e-05,0.0002026993736304897,9.6553779641585e-05
M07,0.0008000862669395596,0.0019215701702677381,0.0003361497258233942,-0.010953544379433001,-0.003478703069305509,-0.003949196314979638,-0.004971726929822489,0.022555673297959523,-0.0007554497537698137,0.0005978481520636474,0.0002739126871088319,-0.0023802853655021587,0.0014469423179086652,0.0008242124028473195,0.0013145828453390834,0.001817199578306737,0.0012390314011893257,0.0017525463277206156,0.00021758317805942293,0.0002632524219420292,0.00019876136768543778
M08,-0.0015791850580931955,-0.0011498311038879259,-0.0007980777841936503,0.0009497372860088651,-0.0021693339885286243,-0.001421044662132706,-0.001217322764451234,-0.0007554497537698137,0.03013641174040111,-0.003772426438153311,-0.0037020475486151715,-0.0018790075293927291,0.0015644777493631062,0.0010069980156557623,0.0014792370845192276,-2.7035885986331875e-05,8.758011505361323e-05,-1.6053723216138256e-05,-0.00129714501116193,-0.0005539338554659899,-0.0012702427098508589
M09,-0.0035010458500237037,-0.0034903379288768266,-0.0029168193140345243,0.0006157387254882541,-0.001791866868331637,-0.00010136579856916619,0.0002483107210392713,0.0005978481520636474,-0.003772426438153311,0.0248725484287726,-0.007405649324204271,-0.003184632772430351,0.002008178746406758,0.001361965981918815,0.001925560959996458,-0.0012459778669196928,-0.0006531831568959127,-0.0012137103214585425,-0.0025916271778978596,-0.0012222895406691302,-0.0025456905983610324
M10,-0.003392408140793176,-0.0033743706371964785,-0.00290733985283059,-5.9839504614248425e-05,-0.0016974089557771068,1.7701719781433568e-05,0.0003013804270459128,0.0002739126871088319,-0.0037020475486151715,-0.007405649324204271,0.02509511225450497,-0.0032281208172719915,0.0020460897979905296,0.00138320377112302,0.001960866703171438,-0.001203159100896183,-0.0006259227000998721,-0.0011748550270339285,-0.0025491353968313205,-0.0012029015564946192,-0.00250551362543109
M11,-0.0010159751063032977,-0.0005807587556029377,-0.0008081922228169701,-0.002754756719775206,-0.001523369850260377,-0.0005895737106430866,-0.000743602945747619,-0.0023802853655021587,-0.0018790075293927291,-0.003184632772430351,-0.0032281208172719915,0.03028327688594807,0.0017703252243280298,0.001125363137888183,0.0016727565358618116,0.0001473772896700711,0.0001979393826575931,0.00013725998528825973,-0.00109183648733211,-0.0004663109102469165,-0.0010774188048329565
M12,-0.001912588567284484,-0.0035811470602241874,-0.0033808907917654745,-0.0004328580257439666,0.0007427871491816887,-0.0020165714904641498,-0.0018755521805617252,0.0014469423179086652,0.0015644777493631062,0.002008178746406758,0.0020460897979905296,0.0017703252243280298,0.02713247584271413,-0.0032279525429215012,-0.0049782515955193,-0.002259886715964893,-0.0016858228929604194,-0.0022042949533200213,0.0006773956610370811,0.0001888508253047165,0.000666721441427999
