,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
M00,0.025299058183919115,-1.6367656942264206e-05,-5.236836710577629e-06,0.00042760863350325257,7.304492745809472e-06,-0.010672918197349494,1.0502013647780062e-05,1.3147097911777962e-05,3.4347099615527842e-06,-3.6445093649718357e-06,-0.00789281043115541,4.1066987018494456e-06,-3.7459784617607676e-06,-3.4860003393093303e-06,-3.716765297926017e-06,-5.140760498269087e-06,-2.1112090983917286e-06,-3.271488537966242e-06,2.9093146743424685e-07,-4.845715035332326e-07,4.781052023335828e-07
M01,-1.6367656942264206e-05,4.462081411978727e-05,-2.80609228937637e-08,3.2973980468274166e-07,5.267111095612209e-09,-2.7929180163401745e-06,-1.1092673418773702e-08,1.0146197539510559e-08,4.6040463939933206e-09,-8.155074200648316e-09,-8.431269115606186e-06,5.438105603672156e-09,-2.604886510540923e-08,-2.009394684140934e-08,-3.006360482180668e-08,-1.932709680294485e-08,-9.710207931191463e-09,-1.857991080933198e-08,-1.8036525109835873e-09,-1.5302395020026979e-09,-6.844925570930769e-10
M02,-5.236836710577629e-06,-2.80609228937637e-08,4.465205531190984e-05,-4.931993095477269e-07,-2.0160548353396404e-09,-1.0264951776998284e-06,-2.2357599522874486e-08,-1.3877221755936046e-09,5.967709335946294e-10,-7.481696293012883e-09,-1.568710683123758e-05,1.2792746756050122e-09,-2.4846633216125793e-08,-1.8595376332410797e-08,-2.916311712076902e-08,-1.6768801475345856e-08,-8.84426863553195e-09,-1.7501874452120736e-08,-3.0079912526878536e-09,-1.412235393615456e-09,-1.7267317612297771e-09
M03,0.00042760863350325257,3.2973980468274166e-07,-4.931993095477269e-07,0.000846910975385204,7.882634145959788e-07,-0.00038070346973447476,-2.0437356542054086e-07,-8.638883094690321e-06,1.2612611648514102e-06,1.6526988221772849e-06,-0.0008072114690650718,-1.8231825828848524e-06,4.5408218436577684e-08,-2.4791766876858433e-08,-7.29954232550301e-08,4.3077595829612314e-07,2.0490139145391882e-07,1.558370075205194e-07,8.476199432939772e-07,1.7099658310755548e-07,5.358822601979608e-07
M04,7.304492745809472e-06,5.267111095612209e-09,-2.0160548353396404e-09,7.882634145959788e-07,4.404228900539549e-05,-1.391109008694475e-05,-1.536726458671429e-08,-1.253120400309797e-08,-4.011531974204238e-09,5.276795290257485e-10,-6.053683095830866e-06,-3.7744922950263e-09,-1.564378927906629e-09,-5.23413871093696e-10,-2.4493696821124274e-09,1.2531334595280646e-09,5.426138352358223e-11,-5.942672513140494e-10,-1.1317114712584016e-09,8.725558650509764e-11,-9.68351057059921e-10
M05,-0.010672918197349494,-2.7929180163401745e-06,-1.0264951776998284e-06,-0.00038070346973447476,-1.391109008694475e-05,0.008167560165848107,-1.6134157737599043e-05,-1.253124580301179e-05,-3.1769369785567464e-06,2.457013877726218e-06,0.0014042623298653643,-2.01220353076993e-06,-7.134394205508597e-07,6.136295091474382e-08,-1.6152642182060088e-06,3.0378794993663473e-06,7.358469782196976e-07,7.947109160345193e-07,7.521509316072009e-07,5.132950396427341e-07,3.305325864815826e-07
M06,1.0502013647780062e-05,-1.1092673418773702e-08,-2.2357599522874486e-08,-2.0437356542054086e-07,-1.536726458671429e-08,-1.6134157737599043e-05,4.611249562374553e-05,-2.067652101726293e-08,-4.6432895850582125e-09,-2.9462819737972447e-09,-8.5846254165093e-06,-4.199697160861255e-09,-2.1279241562752758e-08,-1.4933300423789207e-08,-2.6009066779277898e-08,-1.0246325842260786e-08,-6.384488249800104e-09,-1.387435826533593e-08,-3.286443660426986e-09,-7.426881503059872e-10,-2.2947800036164926e-09
M07,1.3147097911777962e-05,1.0146197539510559e-08,-1.3877221755936046e-09,-8.638883094690321e-06,-1.253120400309797e-08,-1.253124580301179e-05,-2.067652101726293e-08,4.4047705126912724e-05,-5.290891280564162e-09,1.7257228084829258e-09,-5.582022912927088e-06,-5.780935903737414e-09,-1.0972371152557852e-09,9.033556992299446e-11,-2.1900143728215778e-09,2.642793257697873e-09,5.404474144100184e-10,-1.8374744146254944e-11,-1.2882515398522608e-09,2.3401378143292217e-10,-1.1821336478712423e-09
M08,3.4347099615527842e-06,4.6040463939933206e-09,5.967709335946294e-10,1.2612611648514102e-06,-4.011531974204238e-09,-3.1769369785567464e-06,-4.6432895850582125e-09,-5.290891280564162e-09,4.4011159160872506e-05,-8.896674946044834e-10,-1.310093172411798e-05,-2.64838044135616e-09,1.820871716529314e-09,1.6672158149656207e-09,1.957524057504345e-09,1.6307991363819607e-09,6.592931747119022e-10,1.1192290893093782e-09,-1.0845995195584356e-09,-3.619594813944785e-11,-8.676801847003718e-10
M09,-3.6445093649718357e-06,-8.155074200648316e-09,-7.481696293012883e-09,1.6526988221772849e-06,5.276795290257485e-10,2.457013877726218e-06,-2.9462819737972447e-09,1.7257228084829258e-09,-8.896674946044834e-10,4.416391151659055e-05,-1.980131872615307e-05,-3.1848685564099095e-10,-5.174235640639927e-09,-3.938253771880659e-09,-5.860530570613709e-09,-4.6622567013671755e-09,-2.2892415290244863e-09,-4.243219569583133e-09,-1.7120868507400932e-09,-6.196279648447527e-10,-1.0798573578779495e-09
