member,kind,storey,bay,case,true_alpha,flat_alpha_mean,flat_alpha_sd,flat_max_abs_correlation,flat_identifiability,sparse_alpha_mean,sparse_alpha_sd,sparse_max_abs_correlation,sparse_identifiability,sparse_minus_flat_abs_error,source
M00,column,1,0,clustered_main_case,0.9916267563460638,0.8114812518267605,0.17021408191760687,0.1555046051005686,trades_off,0.654061635995375,0.20013131555891037,0.2482037877028352,trades_off,0.15741961583138542,illustrative
M01,column,1,1,clustered_main_case,0.679457462870522,0.7929159933602459,0.16266522151481944,0.201112108862923,separable,0.7947041466463862,0.14615093363977757,0.37068227269419723,separable,0.0017881532861403482,illustrative
M02,column,1,2,clustered_main_case,0.7673646465761695,0.7824052370814213,0.16443996476209724,0.26102375569326985,separable,0.7946699357385121,0.14633020901797097,0.37068227269419723,separable,0.012264698657090789,illustrative
M03,column,1,3,clustered_main_case,0.9818251809564175,0.7272269052932475,0.0860191178624691,0.8478749216049549,trades_off,0.6545194968415654,0.20069369372489232,0.2397467385361881,trades_off,0.07270740845168211,illustrative
M04,column,2,0,clustered_main_case,0.7410196568814531,0.8360210840544485,0.16416896160140576,0.25735035849377563,separable,0.9872081529014693,0.05261356229492644,0.07312861785518483,separable,0.15118706884702082,illustrative
M05,column,2,1,clustered_main_case,0.9543806613122212,0.8017634587416352,0.15186030631809036,0.38371514602660917,separable,0.7036632009588303,0.15918567490611793,0.6676661604258922,separable,0.09810025778280496,illustrative
M06,column,2,2,clustered_main_case,0.7063919628311573,0.7947911309296198,0.15368789848576836,0.38371514602660917,separable,0.703326891281123,0.15924837459555463,0.6676661604258922,separable,-0.08533409654842816,illustrative
M07,column,2,3,clustered_main_case,0.7491064858393197,0.7911443187992439,0.15018546300477795,0.8478749216049549,trades_off,0.9871682077725532,0.052643526980112834,0.07306165052853292,separable,0.19602388897330936,illustrative
M08,column,3,0,clustered_main_case,0.9998163262523082,0.8567611596809066,0.17359842090411165,0.1377891010817797,trades_off,0.991994240474101,0.049036085469592816,0.05296913609463742,separable,-0.1352330807931944,illustrative
M09,column,3,1,clustered_main_case,0.7637794229007807,0.8198144891776022,0.1577103307610906,0.2964206323164125,separable,0.734131366838103,0.1577345394831148,0.5248572214665941,separable,-0.026387010214143802,illustrative
M10,column,3,2,clustered_main_case,0.8868553092542035,0.8177524476920095,0.15841436883851467,0.2964206323164125,separable,0.7340177071798457,0.1576903933249916,0.5248572214665941,separable,0.08373474051216379,illustrative
M11,column,3,3,clustered_main_case,0.7443269107162586,0.8453050599429861,0.17402090933548206,0.18402924014663516,trades_off,0.9919980335355916,0.04903282433123859,0.05306369451297557,separable,0.14669297359260547,illustrative
M12,beam,1,0,clustered_main_case,0.8742138709918149,0.8467498962231376,0.1647193851455078,0.1816081621671671,separable,0.9690358035768301,0.06814345468853183,0.05472649318453026,separable,0.0673579578163378,illustrative
M13,beam,1,1,clustered_main_case,0.6683118292337747,0.8687446635909234,0.17440975779001702,0.11235997907888066,trades_off,0.9916258318210907,0.04924385285815801,0.02200210969827984,separable,0.12288116823016726,illustrative
M14,beam,1,2,clustered_main_case,0.8962980855088591,0.8493535674480315,0.16641664627931074,0.1816081621671671,separable,0.9695340800621794,0.06772351332730847,0.05472649318453026,separable,0.026291476492492638,illustrative
M15,beam,2,0,clustered_main_case,0.7533313015366673,0.8569612033572795,0.17463228213841306,0.10962223511948582,trades_off,0.9880590860824077,0.05197859707908223,0.021424032224987677,separable,0.13109788272512812,illustrative
M16,beam,2,1,clustered_main_case,0.9233732380006169,0.871078140657165,0.1774473614834255,0.07343654533067227,trades_off,0.9946364244063204,0.047566225364933275,0.010747061435964433,separable,0.01896808906225167,illustrative
