configuration,seed,energy,feasible,interventions,geometry_acquisitions,source
main,12000,38.377711978158914,True,10,0,illustrative
main,12001,100.60424095508642,True,12,0,illustrative
main,12002,89.72666281322017,True,11,1,illustrative
main,12003,100.81192417163402,True,11,0,illustrative
main,12004,73.46740600885823,True,11,0,illustrative
main,12005,42.843973852926865,True,11,0,illustrative
main,12006,69.17733385344036,True,11,2,illustrative
main,12007,105.98872771847527,True,11,0,illustrative
main,12008,77.67602555430494,True,12,1,illustrative
main,12009,135.286499060574,True,11,0,illustrative
main,12010,81.69744624395389,True,10,0,illustrative
main,12011,114.24809051328339,True,12,0,illustrative
main,12012,104.66835677530617,True,11,0,illustrative
main,12013,76.1709912661463,True,11,1,illustrative
main,12014,69.81148310587741,True,10,0,illustrative
main,12015,107.32576465059537,True,11,0,illustrative
main,12016,101.45798601419665,True,11,0,illustrative
main,12017,56.62952503468841,True,11,0,illustrative
main,12018,96.73070274945349,True,11,1,illustrative
main,12019,49.8361945283832,True,10,2,illustrative
lambda_0,13000,89.06597868376411,True,10,0,illustrative
lambda_0,13001,56.63991177419666,True,11,0,illustrative
lambda_0,13002,61.29793506185524,True,10,0,illustrative
lambda_0,13003,97.1731606584508,True,11,0,illustrative
lambda_0,13004,49.25173935631756,True,12,0,illustrative
lambda_0,13005,118.36521193187218,True,11,0,illustrative
lambda_0,13006,74.41432964557316,True,11,0,illustrative
lambda_0,13007,90.10438764293212,True,11,0,illustrative
lambda_0,13008,91.47168763482478,True,11,0,illustrative
lambda_0,13009,101.56681651074905,True,11,0,illustrative
lambda_0,13010,114.31074428965803,True,11,0,illustrative
lambda_0,13011,48.12572285346687,True,10,0,illustrative
lambda_0,13012,60.565555486944504,True,11,0,illustrative
lambda_0,13013,73.31613623478916,True,12,0,illustrative
lambda_0,13014,114.16075290215667,True,11,0,illustrative
lambda_0,13015,78.75168095354456,True,11,0,illustrative
lambda_0,13016,70.46290181553923,True,12,0,illustrative
lambda_0,13017,78.11422288592439,True,12,0,illustrative
lambda_0,13018,81.42775086825714,True,11,0,illustrative
lambda_0,13019,33.80653200135566,True,10,0,illustrative
lambda_0.0005,14000,78.03103420487605,True,11,0,illustrative
lambda_0.0005,14001,92.71264822175726,True,12,0,illustrative
lambda_0.0005,14002,87.75318333669566,True,11,0,illustrative
