configuration,seed_count,best_energy,median_energy,worst_energy,energy_spread,feasible_runs,runs_with_geometry_acquisition,geometry_acquisition_run_fraction,best_run_geometry_acquisitions,source
main,20,38.377711978158914,85.71205452858703,135.286499060574,96.90878708241507,20,6,0.3,0,illustrative
lambda_0,20,33.80653200135566,78.43295191973448,118.36521193187218,84.55867993051652,20,0,0.0,0,illustrative
lambda_0.0005,20,32.420576504664496,93.65380929026287,121.25121961417608,88.83064310951158,20,1,0.05,0,illustrative
lambda_0.001,20,34.38726306974422,101.53268367663259,129.9953545985045,95.60809152876027,20,3,0.15,2,illustrative
lambda_0.005,20,57.58119043963961,100.81046002887888,130.21907148638275,72.63788104674313,20,16,0.8,2,illustrative
lambda_0.01,20,60.36137161555234,86.86436630942626,116.23523991223192,55.873868296679575,20,20,1.0,2,illustrative
point_estimate,20,27.274699370842427,86.25311142578721,139.67680711887078,112.40210774802836,20,0,0.0,0,illustrative
no_initial_geometry_acquisition_allowed,20,59.835973156034015,105.42658408579882,134.88758637948195,75.05161322344793,20,9,0.45,0,illustrative
no_interactions,20,16.20086391986115,91.6230093043414,138.568813904305,122.36794998444384,20,9,0.45,2,illustrative
flat_prior_main,20,35.9817073578015,73.42334841098636,108.60373715613969,72.62202979833819,20,16,0.8,2,illustrative
dense_sparse_prior_main,20,-62.590620160801336,15.18925353558734,117.86182196880691,180.45244212960824,20,17,0.85,2,illustrative
dense_flat_prior_main,20,-89.82372322492301,24.5409505488351,101.30856426781975,191.13228749274276,20,20,1.0,4,illustrative
lambda_0.002,20,38.377711978158914,85.71205452858703,135.286499060574,96.90878708241507,20,6,0.3,0,illustrative
