member_id,member,kind,storey,bay,node_i,node_j,geometry_exists,geometry_age_periods,new_damage_event,geometry_admissible,tier,alpha_mean,alpha_sd_after_tier,crack_width_mean_mm,crack_width_sd_mm,theta_mean_deg,theta_sd_deg,expiry_reason,source
0,M00,column,1,0,0,4,False,,False,False,reduced_alpha_only,0.654061635995375,0.33021667067220206,,,,,no_record,illustrative
1,M01,column,1,1,1,5,True,3.0,False,False,reduced_alpha_only,0.7947041466463862,0.24114904050563296,,,,,age_expired,illustrative
2,M02,column,1,2,2,6,True,0.0,False,True,full_alpha_w_theta,0.7946699357385121,0.14633020901797097,0.2388710113520935,0.08,59.1492435668838,7.0,valid,illustrative
3,M03,column,1,3,3,7,False,,False,False,reduced_alpha_only,0.6545194968415654,0.33114459464607227,,,,,no_record,illustrative
4,M04,column,2,0,4,8,False,,False,False,reduced_alpha_only,0.9872081529014693,0.08681237778662862,,,,,no_record,illustrative
5,M05,column,2,1,5,9,False,,False,False,reduced_alpha_only,0.7036632009588303,0.2626563635950946,,,,,no_record,illustrative
6,M06,column,2,2,6,10,True,3.0,False,False,reduced_alpha_only,0.703326891281123,0.26275981808266513,,,,,age_expired,illustrative
7,M07,column,2,3,7,11,True,2.0,False,True,full_alpha_w_theta,0.9871682077725532,0.052643526980112834,0.3468903226943577,0.08,66.22631169963924,7.0,valid,illustrative
8,M08,column,3,0,8,12,True,0.0,False,True,full_alpha_w_theta,0.991994240474101,0.049036085469592816,0.0,0.08,90.78794171772859,7.0,valid,illustrative
9,M09,column,3,1,9,13,True,1.0,False,True,full_alpha_w_theta,0.734131366838103,0.1577345394831148,0.2801515543622697,0.08,99.78525503782052,7.0,valid,illustrative
10,M10,column,3,2,10,14,True,3.0,False,False,reduced_alpha_only,0.7340177071798457,0.26018914898623613,,,,,age_expired,illustrative
11,M11,column,3,3,11,15,False,,False,False,reduced_alpha_only,0.9919980335355916,0.08090416014654365,,,,,no_record,illustrative
12,M12,beam,1,0,4,5,True,2.0,False,True,full_alpha_w_theta,0.9690358035768301,0.06814345468853183,0.16242109052567918,0.08,22.11696986747617,7.0,valid,illustrative
13,M13,beam,1,1,5,6,True,4.0,False,False,reduced_alpha_only,0.9916258318210907,0.0812523572159607,,,,,age_expired,illustrative
14,M14,beam,1,2,6,7,True,4.0,False,False,reduced_alpha_only,0.9695340800621794,0.11174379699005896,,,,,age_expired,illustrative
15,M15,beam,2,0,8,9,True,2.0,False,True,full_alpha_w_theta,0.9880590860824077,0.05197859707908223,0.15504170246754959,0.08,96.68384258491162,7.0,valid,illustrative
16,M16,beam,2,1,9,10,True,2.0,True,False,reduced_alpha_only,0.9946364244063204,0.07848427185213991,,,,,new_damage_event,illustrative
17,M17,beam,2,2,10,11,True,3.0,False,False,reduced_alpha_only,0.9880636725405055,0.08575869695802267,,,,,age_expired,illustrative
18,M18,beam,3,0,12,13,True,2.0,False,True,full_alpha_w_theta,0.9947546785519006,0.047511861682405315,0.16168263775244848,0.08,35.855550380756625,7.0,valid,illustrative
19,M19,beam,3,1,13,14,False,,False,False,reduced_alpha_only,0.9981799803461546,0.07652715836302604,,,,,no_record,illustrative
20,M20,beam,3,2,14,15,True,1.0,True,False,reduced_alpha_only,0.9947577607999376,0.07839210236888437,,,,,new_damage_event,illustrative
